"";"X1";"excess stock returns";"GDP";"consumption";"investment";"gov. spending";"CPI inflation"
"1";"1980Q1";-0,0607;568326;342139;67343;143060;0,0211
"2";"1980Q2";-0,0875;564507;340790;67988;141146;0,0296
"3";"1980Q3";-0,0228;576708;343828;67824;141722;0,0148
"4";"1980Q4";-0,0681;588416;345412;69198;145933;0,0113
"5";"1981Q1";-0,0662;592413;345179;70169;148704;0,0104
"6";"1981Q2";-0,1876;597784;347089;70007;148151;0,0079
"7";"1981Q3";-0,1919;595470;350029;70869;149765;0,0107
"8";"1981Q4";-0,1017;598606;352970;71843;149717;0,0101
"9";"1982Q1";-0,0837;609522;357620;71110;150207;0,0055
"10";"1982Q2";-0,0731;610996;362786;72641;150661;0,0052
"11";"1982Q3";-0,0998;612407;360799;72497;150954;0,0079
"12";"1982Q4";-0,1525;619736;369680;71075;151116;0,0069
"13";"1983Q1";-0,1371;618664;368986;70036;152672;0,0022
"14";"1983Q2";-0,1819;623782;370488;72002;153980;0,0028
"15";"1983Q3";-0,1719;631304;374771;71628;155868;0,0034
"16";"1983Q4";-0,1604;635815;375784;71845;155435;0,0078
"17";"1984Q1";-0,2487;642246;378822;74437;155639;0,0043
"18";"1984Q2";-0,2764;651571;380662;75476;162941;0,0062
"19";"1984Q3";-0,321;657676;384586;78627;156135;0,0043
"20";"1984Q4";-0,3719;657120;384220;81949;154327;0,0082
"21";"1985Q1";-0,4374;672404;388813;86831;152359;0,0049
"22";"1985Q2";-0,3595;680636;393889;86195;157009;0,0036
"23";"1985Q3";-0,0573;693748;394443;90432;158110;0,0035
"24";"1985Q4";-0,1217;702551;402159;91931;157685;0,0026
"25";"1986Q1";-0,0639;704202;403277;90163;158957;0,0044
"26";"1986Q2";-0,0925;701031;405240;94297;158229;0
"27";"1986Q3";0,0535;705627;410613;93787;162720;-0,0018
"28";"1986Q4";0,0604;711893;411058;95105;167746;-1e-04
"29";"1987Q1";0,0899;708875;416649;93281;164462;3e-04
"30";"1987Q2";0,0507;722324;419854;96718;166201;0,0023
"31";"1987Q3";-0,0225;735715;425178;99076;169681;0,0024
"32";"1987Q4";0,0389;753532;432147;100893;173265;8e-04
"33";"1988Q1";-0,0574;770440;437455;104672;176640;-2e-04
"34";"1988Q2";-0,1106;770158;444470;110008;176361;7e-04
"35";"1988Q3";-0,1998;785068;445166;117445;175865;0,0022
"36";"1988Q4";-0,1578;792515;448866;121307;174724;0,0029
"37";"1989Q1";-0,0256;814427;462837;132411;176588;0,004
"38";"1989Q2";0,0168;802495;454451;127222;175436;0,0035
"39";"1989Q3";0,0142;815756;464290;130554;178607;0,0049
"40";"1989Q4";0,0293;839576;475896;137457;179980;0,0034
"41";"1990Q1";0,0442;833744;474436;136966;183329;0,0063
"42";"1990Q2";0,0711;857642;489047;142848;182466;0,006
"43";"1990Q3";0,0732;873186;493533;146173;184891;0,0069
"44";"1990Q4";0,0833;869776;488229;148447;188661;0,0109
"45";"1991Q1";0,0525;876608;489494;152700;188423;0,0074
"46";"1991Q2";0,0625;886109;496269;149244;186718;0,0043
"47";"1991Q3";0,0588;885610;495328;149207;190884;0,0066
"48";"1991Q4";0,1002;889627;500270;148481;195546;0,005
"49";"1992Q1";0,1254;891094;507251;141929;197010;0,006
"50";"1992Q2";0,1974;889268;503858;141297;203054;0,0076
"51";"1992Q3";0,0996;892899;504750;138162;205534;0,0034
"52";"1992Q4";0,0869;885971;501333;132860;205938;0,0034
"53";"1993Q1";0,038;894904;508255;136832;210768;0,0025
"54";"1993Q2";0,0182;887555;504183;127374;212887;0,0032
"55";"1993Q3";-0,0142;883092;505141;120131;215994;0,0028
"56";"1993Q4";0,0227;886810;514506;113472;216795;0,0015
"57";"1994Q1";0,0107;894689;515348;117361;217797;0,0014
"58";"1994Q2";-0,0562;883847;514270;116146;221898;0,0033
"59";"1994Q3";-0,0968;900825;523908;115763;219628;3e-04
"60";"1994Q4";-0,1758;889938;518172;117174;217863;-0,0013
"61";"1995Q1";-0,0188;895648;517747;117718;217270;0,0011
"62";"1995Q2";-0,0595;907410;525620;122486;220874;-0,001
"63";"1995Q3";-0,0792;913728;527542;120533;229313;2e-04
"64";"1995Q4";-0,146;912484;530591;120468;229643;0,001
"65";"1996Q1";-0,183;919999;533768;117064;236496;-0,001
"66";"1996Q2";-0,1993;928334;534538;121352;234626;0,0015
"67";"1996Q3";-0,2288;928537;536167;124596;230372;0,001
"68";"1996Q4";-0,3084;940932;540884;125708;230067;0,0011
"69";"1997Q1";-0,4183;948598;552848;130690;227925;0,0016
"70";"1997Q2";-0,5389;938379;532978;131871;228568;0,0017
"71";"1997Q3";-0,6145;941831;537199;133135;228457;0,0022
"72";"1997Q4";-0,74;939601;535732;134768;224314;0,0015
"73";"1998Q1";-0,6504;922209;531889;129943;219666;-0,0017
"74";"1998Q2";-0,6554;916201;530393;126685;220176;-0,0012
"75";"1998Q3";-0,6432;918506;536870;124224;223817;-0,0011
"76";"1998Q4";-0,5839;922357;537740;116472;232818;8e-04
"77";"1999Q1";-0,6406;915173;537517;119896;235125;5e-04
"78";"1999Q2";-0,6395;917843;539393;118047;235254;-4e-04
"79";"1999Q3";-0,7123;916179;540826;121392;228301;-0,0012
"80";"1999Q4";-0,9278;920002;541510;120565;233517;1e-04
"81";"2000Q1";-1,1219;935566;542911;127966;230329;0
"82";"2000Q2";-0,897;936532;540093;122698;234001;-0,0013
"83";"2000Q3";-0,7825;933567;538331;127325;233790;-0,0014
"84";"2000Q4";-0,6137;938976;541623;131637;232909;-0,0041
"85";"2001Q1";-0,5198;945383;546706;129691;236989;-0,0023
"86";"2001Q2";-0,4544;942594;549792;128568;235736;-0,0013
"87";"2001Q3";-0,304;931970;547553;127521;235953;-0,0022
"88";"2001Q4";-0,42;928937;549079;120052;235951;-0,0028
"89";"2002Q1";-0,5164;927847;549611;118941;236750;-0,0012
"90";"2002Q2";-0,5882;936576;552975;117643;236923;-0,0025
"91";"2002Q3";-0,4535;942507;556664;120795;237568;-0,0022
"92";"2002Q4";-0,4628;944956;554642;121896;235764;-0,0018
"93";"2003Q1";-0,423;940353;552708;122187;233910;-4e-04
"94";"2003Q2";-0,3701;950369;554542;125581;235457;5e-04
"95";"2003Q3";-0,3614;954810;554250;124317;234526;2e-04
"96";"2003Q4";-0,3212;964161;560055;130783;233123;-3e-04
"97";"2004Q1";-0,2633;973425;562382;125431;236145;-0,0011
"98";"2004Q2";-0,2603;973880;561821;129532;231572;-6e-04
"99";"2004Q3";-0,2237;975018;562156;130782;231266;6e-04
"100";"2004Q4";-0,1624;972059;558672;133503;229653;-5e-04
"101";"2005Q1";-0,1597;974511;564578;134665;230098;-1e-04
"102";"2005Q2";-0,1541;987436;568456;138837;227652;-2e-04
"103";"2005Q3";-0,1535;990898;572088;139900;228431;-0,0013
"104";"2005Q4";-0,0824;992313;574011;135688;227181;4e-04
"105";"2006Q1";-0,0953;996850;575418;137750;227843;0,0012
"106";"2006Q2";-0,1766;1000651;577088;142314;226842;2e-04
"107";"2006Q3";-0,2304;999533;571413;143154;224171;1e-04
"108";"2006Q4";-0,3253;1011779;578202;148137;223960;0
"109";"2007Q1";-0,3748;1021980;580421;150121;224548;-0,0014
"110";"2007Q2";-0,4346;1023177;581748;148131;224726;4e-04
"111";"2007Q3";-0,4724;1018942;579010;147418;223874;-2e-04
"112";"2007Q4";-0,5318;1027249;579485;151991;225983;0,0058
"113";"2008Q1";-0,4727;1034524;583424;153385;224424;0,0038
"114";"2008Q2";-0,5087;1022289;575261;148781;219724;0,0045
"115";"2008Q3";-0,5021;1011308;573687;144740;219963;0,009
"116";"2008Q4";-0,2796;977589;566158;133404;220633;-0,0068
"117";"2009Q1";-0,3291;939140;561679;129802;223829;-0,0073
"118";"2009Q2";-0,3211;955339;571174;123060;228270;-0,0046
"119";"2009Q3";-0,395;956177;571091;122275;230279;-0,0044
"120";"2009Q4";-0,4516;972186;578586;122564;231482;-9e-04
"121";"2010Q1";-0,4571;987042;583061;120734;231794;-2e-04
"122";"2010Q2";-0,4043;997584;583328;126187;231881;-0,0044
"123";"2010Q3";-0,3736;1012437;591092;128185;232572;-0,0053
"124";"2010Q4";-0,3603;1006919;588169;126051;231969;0,0021
"125";"2011Q1";-0,2978;988749;578388;126412;230775;-3e-04
"126";"2011Q2";-0,2384;983198;585510;126424;232928;7e-04
"127";"2011Q3";-0,1468;1010016;594994;129567;231911;-6e-04
"128";"2011Q4";-0,1341;1012028;597272;140369;230550;-0,0016
"129";"2012Q1";-0,1445;1024151;601521;135527;237285;0,0025
"130";"2012Q2";-0,1227;1018962;606164;136752;235544;-7e-04
"131";"2012Q3";-0,0293;1015525;604503;135351;235179;-0,0027
"132";"2012Q4";-0,0416;1014132;604545;135099;236254;-3e-04
"133";"2013Q1";-0,1631;1028679;612528;132903;240674;7e-04
"134";"2013Q2";-0,1681;1034842;618604;136541;242724;0,0024
"135";"2013Q3";-0,1579;1041498;620919;137624;244951;0,004
"136";"2013Q4";-0,1763;1039274;619387;139683;245233;0,0038
"137";"2014Q1";-0,1732;1052045;632819;146856;244734;0,0034
"138";"2014Q2";-0,1042;1031829;601587;140071;245109;0,0022
"139";"2014Q3";-0,059;1028910;603763;140081;246538;0,0019
"140";"2014Q4";-0,1186;1032330;605505;140387;247273;-5e-04
"141";"2015Q1";-0,2167;1044997;608343;144510;247552;-0,002
"142";"2015Q2";-0,232;1040979;603870;144429;249603;0,0017
